
999,1,1,Congruent,Save,Save,null,left,Wrong,612
999,1,2,Congruent,g1,null,g1,left,Wrong,470
999,1,3,Congruent,Save as,Save as,null,left,Wrong,484
999,1,4,Congruent,g2,null,g2,right,Correct,655
999,1,5,Congruent,Save,Save,null,left,Wrong,465
999,1,6,Congruent,Save,Save,null,right,Wrong,778
999,1,7,Congruent,g2,null,g2,left,Wrong,550
999,1,8,Congruent,Save as,Save as,null,left,Wrong,572
999,1,9,Congruent,Save as,Save as,null,left,Wrong,396
999,1,10,Congruent,Save as,Save as,null,left,Wrong,226
999,1,11,Congruent,Save,Save,null,left,Wrong,460
999,1,12,Congruent,g1,null,g1,left,Wrong,476
999,1,13,Congruent,Save as,Save as,null,left,Wrong,347
999,1,14,Congruent,g1,null,g1,left,Wrong,419
999,1,15,Congruent,g1,null,g1,left,Wrong,216
999,1,16,Congruent,g1,null,g1,left,Wrong,203
999,1,17,Congruent,Save,Save,null,left,Wrong,227
999,1,18,Congruent,g2,null,g2,left,Wrong,234
999,1,19,Congruent,Save as,Save as,null,left,Wrong,279
999,1,20,Congruent,g1,null,g1,left,Wrong,201
9900,1,1,Congruent,Open & Close,Open & Close,null,left,Wrong,null
9900,1,2,Congruent,trans1,null,trans1,left,Wrong,null
9900,1,3,Congruent,Save & Save as,Save & Save as,null,left,Wrong,null
9900,1,4,Congruent,trans2,null,trans2,left,Wrong,null
9900,1,5,Congruent,Open & Close,Open & Close,null,left,Wrong,null
9900,1,6,Congruent,Open & Close,Open & Close,null,left,Wrong,null
9900,1,7,Congruent,trans2,null,trans2,left,Wrong,null
9900,1,8,Congruent,Save & Save as,Save & Save as,null,left,Wrong,null
9900,1,9,Congruent,Save & Save as,Save & Save as,null,left,Wrong,null
9900,1,10,Congruent,Save & Save as,Save & Save as,null,left,Wrong,null
9900,1,11,Congruent,Open & Close,Open & Close,null,left,Wrong,null
9900,1,12,Congruent,trans1,null,trans1,left,Wrong,null
9900,1,13,Congruent,Save & Save as,Save & Save as,null,left,Wrong,null
9900,1,14,Congruent,trans1,null,trans1,left,Wrong,null
9900,1,15,Congruent,trans1,null,trans1,left,Wrong,null
9900,1,16,Congruent,trans1,null,trans1,left,Wrong,null
9900,1,17,Congruent,Open & Close,Open & Close,null,left,Wrong,null
9900,1,18,Congruent,trans2,null,trans2,left,Wrong,null
9900,1,19,Congruent,Save & Save as,Save & Save as,null,left,Wrong,null
9900,1,20,Congruent,trans1,null,trans1,left,Wrong,null
123,1,1,Congruent,Open & Close,Open & Close,null,left,Wrong,210
123,1,2,Congruent,trans1,null,trans1,left,Wrong,219
123,1,3,Congruent,Save & Save as,Save & Save as,null,left,Wrong,313
123,1,4,Congruent,trans2,null,trans2,left,Wrong,203
123,1,5,Congruent,Open & Close,Open & Close,null,left,Wrong,121
123,1,6,Congruent,Open & Close,Open & Close,null,left,Wrong,81
123,1,7,Congruent,trans2,null,trans2,left,Wrong,104
123,1,8,Congruent,Save & Save as,Save & Save as,null,left,Wrong,89
123,1,9,Congruent,Save & Save as,Save & Save as,null,left,Wrong,100
123,1,10,Congruent,Save & Save as,Save & Save as,null,left,Wrong,73
123,1,11,Congruent,Open & Close,Open & Close,null,left,Wrong,239
123,1,12,Congruent,trans1,null,trans1,left,Wrong,118
123,1,13,Congruent,Save & Save as,Save & Save as,null,left,Wrong,14
123,1,14,Congruent,trans1,null,trans1,left,Wrong,111
123,1,15,Congruent,trans1,null,trans1,left,Wrong,68
123,1,16,Congruent,trans1,null,trans1,left,Wrong,96
123,1,17,Congruent,Open & Close,Open & Close,null,left,Wrong,80
123,1,18,Congruent,trans2,null,trans2,left,Wrong,105
123,1,19,Congruent,Save & Save as,Save & Save as,null,left,Wrong,89
123,1,20,Congruent,trans1,null,trans1,left,Wrong,105
12,1,1,Congruent,Save,Save,null,left,Wrong,581
12,1,2,Congruent,g1,null,g1,left,Wrong,120
12,1,3,Congruent,Save as,Save as,null,left,Wrong,117
12,1,4,Congruent,g2,null,g2,left,Wrong,173
12,1,5,Congruent,Save,Save,null,left,Wrong,89
12,1,6,Congruent,Save,Save,null,left,Wrong,226
12,1,7,Congruent,g2,null,g2,left,Wrong,111
1212,1,1,Congruent,Save,Save,null,left,Wrong,218
1212,1,2,Congruent,g1,null,g1,left,Wrong,104
1212,1,3,Congruent,Save as,Save as,null,left,Wrong,99
1212,1,4,Congruent,g2,null,g2,left,Wrong,72
1212,1,5,Congruent,Save,Save,null,left,Wrong,104
1212,1,6,Congruent,Save,Save,null,left,Wrong,97
1212,1,7,Congruent,g2,null,g2,left,Wrong,96
1212,1,8,Congruent,Save as,Save as,null,left,Wrong,89
1212,1,9,Congruent,Save as,Save as,null,left,Wrong,106
1212,1,10,Congruent,Save as,Save as,null,left,Wrong,73
1212,1,11,Congruent,Save,Save,null,left,Wrong,103
1212,1,12,Congruent,g1,null,g1,left,Wrong,88
1212,1,13,Congruent,Save as,Save as,null,left,Wrong,171
1212,1,14,Congruent,g1,null,g1,left,Wrong,583
1212,1,15,Congruent,g1,null,g1,right,Wrong,739
1212,1,16,Congruent,g1,null,g1,right,Wrong,806
1212,1,17,Congruent,Save,Save,null,right,Wrong,718
1212,1,18,Congruent,g2,null,g2,right,Correct,703
1212,1,19,Congruent,Save as,Save as,null,right,Correct,622
9898989,1,1,Congruent,Open & Close,Open & Close,null,left,Wrong,346
9898989,1,2,Congruent,trans1,null,trans1,left,Wrong,98
9898989,1,3,Congruent,Save & Save as,Save & Save as,null,left,Wrong,112
9898989,1,4,Congruent,trans2,null,trans2,left,Wrong,180
9898989,1,5,Congruent,Open & Close,Open & Close,null,left,Wrong,85
9898989,1,6,Congruent,Open & Close,Open & Close,null,left,Wrong,97
9898989,1,7,Congruent,trans2,null,trans2,left,Wrong,105
9898989,1,8,Congruent,Save & Save as,Save & Save as,null,left,Wrong,64
9898989,1,9,Congruent,Save & Save as,Save & Save as,null,left,Wrong,89
9898989,1,10,Congruent,Save & Save as,Save & Save as,null,left,Wrong,89
9898989,1,11,Congruent,Open & Close,Open & Close,null,left,Wrong,1016
9898989,1,12,Congruent,trans1,null,trans1,left,Wrong,147
9898989,1,13,Congruent,Save & Save as,Save & Save as,null,left,Wrong,112
9898989,1,14,Congruent,trans1,null,trans1,left,Wrong,89
hejrhjehr,1,1,Congruent,Open & Close,Open & Close,null,left,Wrong,10560
hejrhjehr,1,2,Congruent,trans1,null,trans1,right,Wrong,12886
9898989,1,15,Congruent,trans1,null,trans1,left,Wrong,279789
